Location,Price (RM),Rooms,Store,Bathrooms,Property Type,Size (sqft),Furnishing,Price/Sqft
49,1200019,2,0,2.0,12,577.0,1,2079.7556325823225
17,4988888,4,1,6.0,6,24.0,1,207870.33333333334
53,1820000,4,1,4.0,12,1830.0,1,994.5355191256831
53,1420000,3,1,4.0,12,1499.0,1,947.2981987991994
53,1830000,4,1,4.0,12,1832.0,1,998.9082969432314
17,4988888,5,1,6.0,6,24.0,1,207870.33333333334
45,1680000,3,1,2.0,12,1159.0,0,1449.525452976704
45,2210000,3,0,3.0,12,1502.0,0,1471.3715046604527
45,1420000,2,0,2.0,12,976.0,0,1454.9180327868853
45,3600000,4,1,5.0,16,3897.0,1,923.7875288683603
45,1139000,1,0,1.0,12,751.0,1,1516.6444740346205
45,2930000,2,0,2.0,16,1114.0,0,2630.16157989228
29,1580000,3,0,3.0,4,1900.0,1,831.578947368421
27,1620000,1,1,2.0,16,1194.0,1,1356.78391959799
29,1300000,2,1,3.0,12,1367.0,1,950.9875640087783
25,8000000,7,0,7.0,9,10600.0,1,754.7169811320755
27,6500000,5,1,4.0,9,7880.0,1,824.8730964467005
29,2750000,3,1,4.0,2,22.0,1,125000.0
29,2050000,3,1,4.0,2,22.0,1,93181.81818181818
29,1200000,2,0,2.0,17,1400.0,1,857.1428571428571
9,1600000,3,0,2.0,17,2400.0,1,666.6666666666666
29,1730000,3,1,3.0,12,1690.0,0,1023.6686390532544
29,1500000,3,1,2.0,12,1346.0,0,1114.4130757800892
29,2800000,3,1,4.0,4,1302.0,1,2150.537634408602
29,3280000,4,1,4.0,9,3200.0,1,1025.0
29,1500000,3,1,3.0,12,1400.0,1,1071.4285714285713
29,5500000,6,1,8.0,5,2805.0,1,1960.7843137254902
29,1180000,2,1,3.0,12,1507.0,1,783.0126078301261
29,2300000,4,0,3.0,2,1826.0,1,1259.5837897042716
29,1990000,3,1,3.0,2,22.0,1,90454.54545454546
29,1950000,3,1,3.0,2,2300.0,0,847.8260869565217
45,2950000,3,1,4.0,12,2674.0,1,1103.2161555721766
45,3090000,2,0,2.0,16,1572.0,1,1965.648854961832
29,3600000,5,1,6.0,15,65.0,1,55384.61538461538
45,1230000,3,1,4.0,16,1378.0,0,892.5979680696662
37,350000,3,0,2.0,16,950.0,1,368.42105263157896
45,1230000,1,0,1.0,16,850.0,0,1447.0588235294117
29,1250000,2,1,2.0,12,1303.0,1,959.3246354566385
29,2500000,3,1,5.0,4,22.0,1,113636.36363636363
29,1100000,2,1,3.0,12,1378.0,2,798.2583454281568
29,1980000,3,1,4.0,2,22.0,1,90000.0
9,1300000,3,0,2.0,17,24.0,1,54166.666666666664
