Location,Price (RM),Rooms,Bathrooms,Car Parks,Property Type,Size (sqft),Furnishing
40,1780000,1,1.0,1.0,16,728.0,0
40,2300000,1,1.0,1.0,16,1023.0,1
65,1340000,4,6.0,4.0,4,24.0,1
65,1600000,4,6.0,4.0,4,10.0,1
40,800000,2,3.0,1.0,16,1055.0,0
59,320000,4,2.0,2.0,16,646.0,2
9,6000000,4,5.0,2.0,16,4157.0,1
73,1090000,3,2.0,2.0,0,24.0,1
40,1250000,3,4.0,2.0,16,1378.0,0
73,1330000,3,3.0,2.0,2,24.0,1
47,1850000,4,4.0,2.0,12,1830.0,1
40,2400000,2,2.0,1.0,16,1006.0,1
76,1613300,3,5.0,3.0,12,2336.0,1
40,2440000,1,2.0,1.0,16,1023.0,0
22,5000000,3,3.0,4.0,9,7700.0,1
63,7300000,6,6.0,6.0,9,7300.0,1
39,783990,1,1.0,1.0,16,650.0,1
17,569200,1,2.0,2.0,16,888.0,2
18,439600,3,2.0,2.0,12,850.0,1
73,1150000,3,2.0,1.0,12,1560.0,1
11,425000,4,2.0,1.0,12,1087.0,1
5,10000000,5,7.0,5.0,12,6913.0,1
47,1800000,3,4.0,2.0,12,2243.0,1
18,439600,3,2.0,2.0,12,850.0,1
33,580000,3,2.0,1.0,12,1590.0,1
47,618000,1,1.0,1.0,16,650.0,0
47,1518000,3,3.0,3.0,12,2648.0,1
47,2220000,4,4.0,3.0,12,2973.0,1
40,3600000,4,4.0,2.0,16,3897.0,0
73,1150000,3,2.0,2.0,0,22.0,1
24,2800000,4,4.0,3.0,2,2850.0,1
73,3100000,4,4.0,3.0,15,3600.0,1
73,1380000,4,3.0,2.0,2,23.0,1
73,1450000,3,2.0,2.0,0,24.0,0
5,4900000,7,4.0,4.0,9,11676.0,1
73,1680000,4,3.0,4.0,2,24.0,1
22,1550000,4,3.0,2.0,2,24.0,2
47,1950000,3,4.0,3.0,12,2535.0,0
40,3600000,3,4.0,2.0,16,3897.0,1
65,600000,2,2.0,2.0,16,1025.0,1
19,4130000,4,5.0,2.0,12,3713.0,1
40,1780000,3,3.0,2.0,12,1232.0,0
5,6380000,3,5.0,3.0,12,4025.0,1
5,6900000,4,6.0,3.0,12,4945.0,1
32,660000,3,2.0,2.0,12,992.0,1
40,3125000,1,2.0,2.0,16,1421.0,1
40,2480000,1,1.0,1.0,16,1023.0,1
22,4000000,4,5.0,2.0,15,3700.0,1
40,1050000,3,4.0,2.0,16,1313.0,1
40,1833000,1,1.0,1.0,16,925.0,0
40,2999000,3,3.0,3.0,16,2066.0,0
11,638000,1,1.0,1.0,16,721.0,1
5,6842500,3,5.0,4.0,12,4025.0,1
5,8476050,4,5.0,4.0,12,5137.0,1
47,1415000,3,4.0,2.0,12,1496.0,1
40,1380000,3,4.0,2.0,16,1701.0,0
5,8280000,4,6.0,4.0,12,5137.0,1
68,3690000,4,5.0,6.0,15,3658.0,2
64,950000,4,3.0,2.0,2,1650.0,1
11,4000000,6,7.0,4.0,9,5337.0,1
5,9960000,6,7.0,6.0,12,6913.0,1
5,6660000,4,5.0,3.0,12,4771.0,1
5,6300000,3,5.0,3.0,12,4025.0,1
68,628000,3,2.0,1.0,12,1150.0,1
47,1590000,3,4.0,2.0,12,1878.0,1
61,428000,3,2.0,2.0,16,918.0,1
65,2250000,6,5.0,7.0,4,40.0,1
5,7500000,3,5.0,4.0,12,4025.0,1
40,1450000,2,2.0,1.0,12,867.0,0
47,2600000,4,5.0,3.0,12,3478.0,1
73,2750000,3,4.0,2.0,16,2426.0,1
60,5500000,5,6.0,4.0,9,5446.0,0
61,428000,3,2.0,2.0,16,918.0,2
14,14800000,7,9.0,6.0,9,12000.0,1
40,28000000,14,16.0,10.0,9,26000.0,1
73,1800000,3,3.0,3.0,2,22.0,1
59,770000,3,3.0,2.0,12,1186.0,1
22,3600000,7,7.0,5.0,9,5000.0,2
40,1200000,2,2.0,1.0,12,976.0,1
58,720000,3,3.0,2.0,12,1577.0,0
11,1150000,5,3.0,4.0,12,1772.0,1
11,928000,4,3.0,2.0,12,1513.0,1
41,1680000,6,4.0,6.0,2,48.0,0
40,1350000,1,2.0,1.0,16,900.0,0
32,360000,3,2.0,1.0,12,1088.0,1
18,868000,5,4.0,2.0,2,23.0,1
47,1865000,3,5.0,3.0,12,2535.0,1
40,1308000,1,1.0,1.0,12,753.0,0
40,1760000,2,2.0,2.0,12,1159.0,0
65,568000,2,2.0,2.0,12,904.0,1
40,1020000,3,2.0,1.0,16,813.0,0
40,2400000,2,2.0,1.0,16,1103.0,0
40,1099000,2,2.0,1.0,16,833.0,0
24,1850000,3,3.0,3.0,2,22.0,1
40,1550000,2,2.0,2.0,16,910.0,0
47,1420000,4,4.0,2.0,12,1496.0,0
73,1280000,3,3.0,2.0,2,24.0,1
73,1060000,3,2.0,2.0,0,24.0,2
47,2550000,4,5.0,2.0,12,2973.0,1
11,980000,4,3.0,2.0,12,1513.0,0
22,2650000,3,5.0,3.0,16,2077.0,1
40,3364000,2,2.0,2.0,16,1399.0,0
40,1420000,2,2.0,1.0,12,976.0,1
40,2889000,1,2.0,1.0,16,1163.0,0
19,1080000,2,2.0,1.0,12,1411.0,1
19,916000,1,1.0,1.0,12,1119.0,0
47,2500000,5,4.0,4.0,15,3833.0,1
65,2200000,4,5.0,5.0,15,3282.0,1
0,3600000,4,4.0,6.0,9,9670.0,2
73,5000000,7,5.0,3.0,9,6000.0,0
73,2780000,4,3.0,2.0,15,45.0,1
18,600000,4,3.0,2.0,2,22.0,2
65,1000000,5,4.0,2.0,4,20.0,1
39,2434900,3,4.0,1.0,16,1873.0,2
22,1600000,1,2.0,1.0,16,1152.0,1
71,2000000,6,6.0,3.0,15,3200.0,1
18,535000,1,1.0,1.0,16,762.0,1
65,1300000,4,6.0,4.0,4,24.0,1
40,1200000,3,3.0,2.0,16,1335.0,0
39,2550000,3,5.0,2.0,16,1830.0,1
0,2590000,5,6.0,2.0,9,58.0,1
0,1480000,3,4.0,2.0,12,1876.0,0
65,1348000,5,6.0,4.0,4,3216.0,2
47,618000,1,1.0,1.0,16,462.0,0
47,1590000,3,3.0,2.0,12,2201.0,1
47,1700000,3,4.0,2.0,12,1496.0,0
47,1950000,4,4.0,2.0,12,1830.0,1
40,2300000,1,1.0,2.0,16,1023.0,1
40,1250000,2,3.0,2.0,16,1335.0,0
40,3166000,2,2.0,1.0,16,1423.0,0
32,370000,3,2.0,2.0,16,950.0,1
40,1000000,1,1.0,1.0,12,751.0,0
5,6600000,3,5.0,3.0,12,4025.0,3
5,7400000,4,5.0,5.0,12,5137.0,1
22,12800000,6,9.0,10.0,9,8000.0,0
22,4500000,5,7.0,3.0,9,2970.0,1
5,6800000,5,6.0,6.0,9,7416.0,1
38,1288972,2,2.0,1.0,12,1076.0,0
39,3700000,3,3.0,1.0,16,1738.0,1
18,410000,2,2.0,2.0,12,885.0,1
73,1600000,4,3.0,2.0,2,23.0,1
40,3360000,1,2.0,2.0,16,1421.0,1
22,1770000,1,2.0,1.0,16,1152.0,0
47,1860000,3,4.0,2.0,12,2070.0,1
40,1450000,2,2.0,1.0,16,1050.0,0
32,1080000,3,4.0,2.0,12,1875.0,1
53,570000,3,2.0,1.0,12,1200.0,1
